Data Source in SDW: null
,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_1Y
,"Euro area (changing composition) - Government bond, nominal, all issuers whose rating is triple A - Svensson model - continuous compounding - yield error minimisation - Yield curve spot rate, 1-year maturity - Euro, provided by ECB"
Collection:,End of period (E)
Period\Unit:,[Percent per annum ]
2020-12-02,-0.717922
2020-12-01,-0.715361
2020-11-30,-0.723741
2020-11-27,-0.729444
2020-11-26,-0.730278
2020-11-25,-0.724757
2020-11-24,-0.728928
2020-11-23,-0.724381
2020-11-20,-0.721267
2020-11-19,-0.703333
2020-11-18,-0.710847
2020-11-17,-0.707192
2020-11-16,-0.707224
2020-11-13,-0.717697
2020-11-12,-0.710099
2020-11-11,-0.707864
2020-11-10,-0.705737
2020-11-09,-0.712089
2020-11-06,-0.749907
2020-11-05,-0.754039
2020-11-04,-0.758130
2020-11-03,-0.752570
2020-11-02,-0.758203
2020-10-30,-0.752250
2020-10-29,-0.754353
2020-10-28,-0.753066
2020-10-27,-0.738993
2020-10-26,-0.727765
2020-10-23,-0.726137
2020-10-22,-0.736328
2020-10-21,-0.733268
2020-10-20,-0.738680
2020-10-19,-0.734581
2020-10-16,-0.727239
2020-10-15,-0.721844
2020-10-14,-0.703450
2020-10-13,-0.696775
2020-10-12,-0.679494
2020-10-09,-0.675873
2020-10-08,-0.668003
2020-10-07,-0.658266
2020-10-06,-0.662001
2020-10-05,-0.657743
2020-10-02,-0.656146
2020-10-01,-0.644379
2020-09-30,-0.644058
2020-09-29,-0.640088
2020-09-28,-0.645286
2020-09-25,-0.654560
2020-09-24,-0.656258
2020-09-23,-0.646956
2020-09-22,-0.647503
2020-09-21,-0.648300
2020-09-18,-0.640469
2020-09-17,-0.642322
2020-09-16,-0.637612
2020-09-15,-0.635135
2020-09-14,-0.642857
2020-09-11,-0.639420
2020-09-10,-0.638079
2020-09-09,-0.641193
2020-09-08,-0.645214
2020-09-07,-0.641789
2020-09-04,-0.646476
2020-09-03,-0.648798
2020-09-02,-0.640062
2020-09-01,-0.631165
2020-08-31,-0.624605
2020-08-28,-0.637480
2020-08-27,-0.621176
2020-08-26,-0.618211
2020-08-25,-0.618386
2020-08-24,-0.633759
2020-08-21,-0.643685
2020-08-20,-0.642358
2020-08-19,-0.633329
2020-08-18,-0.628751
2020-08-17,-0.623531
2020-08-14,-0.624618
2020-08-13,-0.621009
2020-08-12,-0.633521
2020-08-11,-0.635064
2020-08-10,-0.643715
2020-08-07,-0.643788
2020-08-06,-0.647837
2020-08-05,-0.648590
2020-08-04,-0.654177
2020-08-03,-0.649244
2020-07-31,-0.648684
2020-07-30,-0.647808
2020-07-29,-0.636615
2020-07-28,-0.637567
2020-07-27,-0.633920
2020-07-24,-0.629561
2020-07-23,-0.632698
2020-07-22,-0.641228
2020-07-21,-0.625154
2020-07-20,-0.632177
2020-07-17,-0.633852
2020-07-16,-0.635178
2020-07-15,-0.628488
2020-07-14,-0.631899
2020-07-13,-0.630621
2020-07-10,-0.644450
2020-07-09,-0.629922
2020-07-08,-0.627112
2020-07-07,-0.628799
2020-07-06,-0.632476
2020-07-03,-0.635538
2020-07-02,-0.631745
2020-07-01,-0.622067
2020-06-30,-0.637002
2020-06-29,-0.639875
2020-06-26,-0.643379
2020-06-25,-0.636927
2020-06-24,-0.612285
2020-06-23,-0.609976
2020-06-22,-0.631441
2020-06-19,-0.622614
2020-06-18,-0.612978
2020-06-17,-0.605960
2020-06-16,-0.606363
2020-06-15,-0.614575
2020-06-12,-0.613605
2020-06-11,-0.605448
2020-06-10,-0.588017
2020-06-09,-0.586366
2020-06-08,-0.584051
2020-06-05,-0.585584
2020-06-04,-0.597233
2020-06-03,-0.597673
2020-06-02,-0.609131
2020-06-01,-0.605612
2020-05-29,-0.597569
2020-05-28,-0.585882
2020-05-27,-0.591177
2020-05-26,-0.590265
2020-05-25,-0.604496
2020-05-22,-0.614402
2020-05-21,-0.611773
2020-05-20,-0.605767
2020-05-19,-0.596249
2020-05-18,-0.627222
2020-05-15,-0.631389
2020-05-14,-0.631228
2020-05-13,-0.614035
2020-05-12,-0.604469
2020-05-11,-0.615613
2020-05-08,-0.644318
2020-05-07,-0.625497
2020-05-06,-0.629612
2020-05-05,-0.645707
2020-05-04,-0.615908
2020-04-30,-0.613036
2020-04-29,-0.622100
2020-04-28,-0.599962
2020-04-27,-0.594386
2020-04-24,-0.617841
2020-04-23,-0.623491
2020-04-22,-0.617790
2020-04-21,-0.620908
2020-04-20,-0.622443
2020-04-17,-0.637312
2020-04-16,-0.639393
2020-04-15,-0.652520
2020-04-14,-0.628814
2020-04-09,-0.618320
2020-04-08,-0.618553
2020-04-07,-0.628554
2020-04-06,-0.635303
2020-04-03,-0.663836
2020-04-02,-0.649504
2020-04-01,-0.651190
2020-03-31,-0.694821
2020-03-30,-0.696221
2020-03-27,-0.700886
2020-03-26,-0.644396
2020-03-25,-0.627382
2020-03-24,-0.645934
2020-03-23,-0.699649
2020-03-20,-0.706478
2020-03-19,-0.727480
2020-03-18,-0.816483
2020-03-17,-0.869172
2020-03-16,-0.885551
2020-03-13,-0.866117
2020-03-12,-0.912983
2020-03-11,-0.877126
2020-03-10,-0.852322
2020-03-09,-0.887656
2020-03-06,-0.795588
2020-03-05,-0.777001
2020-03-04,-0.756167
2020-03-03,-0.724882
2020-03-02,-0.757201
2020-02-28,-0.735743
2020-02-27,-0.713712
2020-02-26,-0.674240
2020-02-25,-0.663188
2020-02-24,-0.653552
2020-02-21,-0.620695
2020-02-20,-0.618815
2020-02-19,-0.621458
2020-02-18,-0.619945
2020-02-17,-0.629966
2020-02-14,-0.635119
2020-02-13,-0.630675
2020-02-12,-0.626569
2020-02-11,-0.628511
2020-02-10,-0.623613
2020-02-07,-0.627817
2020-02-06,-0.617091
2020-02-05,-0.626974
2020-02-04,-0.630527
2020-02-03,-0.657141
2020-01-31,-0.653400
2020-01-30,-0.641248
2020-01-29,-0.631917
2020-01-28,-0.619430
2020-01-27,-0.616440
2020-01-24,-0.612150
2020-01-23,-0.613649
2020-01-22,-0.599449
2020-01-21,-0.591209
2020-01-20,-0.595880
2020-01-17,-0.609044
2020-01-16,-0.610152
2020-01-15,-0.608064
2020-01-14,-0.602282
2020-01-13,-0.598258
2020-01-10,-0.612534
2020-01-09,-0.617632
2020-01-08,-0.633612
2020-01-07,-0.641443
2020-01-06,-0.637580
2020-01-03,-0.630324
2020-01-02,-0.634844
2019-12-30,-0.660710
2019-12-27,-0.679331
2019-12-23,-0.679865
2019-12-20,-0.663800
2019-12-19,-0.670892
2019-12-18,-0.669890
2019-12-17,-0.667758
2019-12-16,-0.660428
2019-12-13,-0.657289
2019-12-12,-0.662165
2019-12-11,-0.665278
2019-12-10,-0.664554
2019-12-09,-0.654970
2019-12-06,-0.655483
2019-12-05,-0.645536
2019-12-04,-0.661359
2019-12-03,-0.659302
2019-12-02,-0.635279
2019-11-29,-0.634678
2019-11-28,-0.643996
2019-11-27,-0.647274
2019-11-26,-0.650220
2019-11-25,-0.646510
2019-11-22,-0.638756
2019-11-21,-0.652271
2019-11-20,-0.650001
2019-11-19,-0.642341
2019-11-18,-0.639018
2019-11-15,-0.658645
2019-11-14,-0.653234
2019-11-13,-0.639034
2019-11-12,-0.635309
2019-11-11,-0.627864
2019-11-08,-0.643783
2019-11-07,-0.644183
2019-11-06,-0.635613
2019-11-05,-0.648842
2019-11-04,-0.658520
2019-11-01,-0.677520
2019-10-31,-0.687181
2019-10-30,-0.662818
2019-10-29,-0.673546
2019-10-28,-0.678399
2019-10-25,-0.678739
2019-10-24,-0.675968
2019-10-23,-0.663899
2019-10-22,-0.662655
2019-10-21,-0.660495
2019-10-18,-0.668313
2019-10-17,-0.669886
2019-10-16,-0.670786
2019-10-15,-0.679990
2019-10-14,-0.685560
2019-10-11,-0.695685
2019-10-10,-0.703969
2019-10-09,-0.740323
2019-10-08,-0.744429
2019-10-07,-0.744851
2019-10-04,-0.750660
2019-10-03,-0.766189
2019-10-02,-0.757306
2019-10-01,-0.751627
2019-09-30,-0.759257
2019-09-27,-0.750763
2019-09-26,-0.739622
2019-09-25,-0.722154
2019-09-24,-0.721726
2019-09-23,-0.721007
2019-09-20,-0.710987
2019-09-19,-0.703384
2019-09-18,-0.726630
2019-09-17,-0.707150
2019-09-16,-0.715487
2019-09-13,-0.713668
2019-09-12,-0.751344
2019-09-11,-0.810428
2019-09-10,-0.809607
2019-09-09,-0.822729
2019-09-06,-0.846078
2019-09-05,-0.855565
2019-09-04,-0.858317
2019-09-03,-0.865812
2019-09-02,-0.880365
2019-08-30,-0.882467
2019-08-29,-0.876702
2019-08-28,-0.866138
2019-08-27,-0.857468
2019-08-26,-0.856056
2019-08-23,-0.850500
2019-08-22,-0.831514
2019-08-21,-0.850222
2019-08-20,-0.867107
2019-08-19,-0.853515
2019-08-16,-0.857690
2019-08-15,-0.846312
2019-08-14,-0.830057
2019-08-13,-0.820994
2019-08-12,-0.827675
2019-08-09,-0.822411
2019-08-08,-0.804931
2019-08-07,-0.809379
2019-08-06,-0.779376
2019-08-05,-0.772688
2019-08-02,-0.754907
2019-08-01,-0.742734
2019-07-31,-0.743844
2019-07-30,-0.729674
2019-07-29,-0.734404
2019-07-26,-0.726149
2019-07-25,-0.729030
2019-07-24,-0.739799
2019-07-23,-0.743561
2019-07-22,-0.737876
2019-07-19,-0.733938
2019-07-18,-0.715215
2019-07-17,-0.717987
2019-07-16,-0.711868
2019-07-15,-0.706043
2019-07-12,-0.702729
2019-07-11,-0.699817
2019-07-10,-0.690565
2019-07-09,-0.694228
2019-07-08,-0.699519
2019-07-05,-0.703048
2019-07-04,-0.708831
2019-07-03,-0.703969
2019-07-02,-0.706207
2019-07-01,-0.694262
2019-06-28,-0.690687
2019-06-27,-0.689139
2019-06-26,-0.686286
2019-06-25,-0.688203
2019-06-24,-0.681826
2019-06-21,-0.679211
2019-06-20,-0.698526
2019-06-19,-0.674097
2019-06-18,-0.685273
2019-06-17,-0.636138
2019-06-14,-0.641173
2019-06-13,-0.632833
2019-06-12,-0.631693
2019-06-11,-0.629056
2019-06-10,-0.622798
2019-06-07,-0.629939
2019-06-06,-0.616751
2019-06-05,-0.630663
2019-06-04,-0.624901
2019-06-03,-0.630152
2019-05-31,-0.641700
2019-05-30,-0.625215
2019-05-29,-0.620078
2019-05-28,-0.616439
2019-05-27,-0.613249
2019-05-24,-0.612080
2019-05-23,-0.613621
2019-05-22,-0.604079
2019-05-21,-0.607257
2019-05-20,-0.613448
2019-05-17,-0.618401
2019-05-16,-0.622099
2019-05-15,-0.634163
2019-05-14,-0.627494
2019-05-13,-0.620568
2019-05-10,-0.618915
2019-05-09,-0.626058
2019-05-08,-0.619226
2019-05-07,-0.607901
2019-05-06,-0.596237
2019-05-03,-0.598881
2019-05-02,-0.597546
2019-04-30,-0.595395
2019-04-29,-0.594069
2019-04-26,-0.596788
2019-04-25,-0.597626
2019-04-24,-0.593814
2019-04-23,-0.588117
2019-04-18,-0.585141
2019-04-17,-0.592595
2019-04-16,-0.589386
2019-04-15,-0.583867
2019-04-12,-0.585269
2019-04-11,-0.594125
2019-04-10,-0.595839
2019-04-09,-0.588743
2019-04-08,-0.593988
2019-04-05,-0.593837
2019-04-04,-0.599622
2019-04-03,-0.601467
2019-04-02,-0.611699
2019-04-01,-0.607146
2019-03-29,-0.610297
2019-03-28,-0.606023
2019-03-27,-0.622380
2019-03-26,-0.582255
2019-03-25,-0.590235
2019-03-22,-0.585628
2019-03-21,-0.569641
2019-03-20,-0.560979
2019-03-19,-0.563284
2019-03-18,-0.563440
2019-03-15,-0.569475
2019-03-14,-0.574112
2019-03-13,-0.573161
2019-03-12,-0.573161
2019-03-11,-0.570534
2019-03-08,-0.570652
2019-03-07,-0.576632
2019-03-06,-0.558525
2019-03-05,-0.563554
2019-03-04,-0.557622
2019-03-01,-0.562844
2019-02-28,-0.567277
2019-02-27,-0.566782
2019-02-26,-0.575007
2019-02-25,-0.569725
2019-02-22,-0.584865
2019-02-21,-0.575983
2019-02-20,-0.582989
2019-02-19,-0.587885
2019-02-18,-0.570046
2019-02-15,-0.567228
2019-02-14,-0.567445
2019-02-13,-0.566331
2019-02-12,-0.566237
2019-02-11,-0.570225
2019-02-08,-0.574138
2019-02-07,-0.577870
2019-02-06,-0.574079
2019-02-05,-0.591553
2019-02-04,-0.594155
2019-02-01,-0.603776
2019-01-31,-0.601981
2019-01-30,-0.599895
2019-01-29,-0.602972
2019-01-28,-0.612966
2019-01-25,-0.616687
2019-01-24,-0.610638
2019-01-23,-0.622024
2019-01-22,-0.626595
2019-01-21,-0.622438
2019-01-18,-0.627832
2019-01-17,-0.623077
2019-01-16,-0.630611
2019-01-15,-0.639868
2019-01-14,-0.630235
2019-01-11,-0.635164
2019-01-10,-0.637779
2019-01-09,-0.634994
2019-01-08,-0.644449
2019-01-07,-0.643783
2019-01-04,-0.659218
2019-01-03,-0.673208
2019-01-02,-0.688424
2018-12-28,-0.748986
2018-12-27,-0.747759
2018-12-21,-0.755688
2018-12-20,-0.750549
2018-12-19,-0.749415
2018-12-18,-0.756896
2018-12-17,-0.752742
2018-12-14,-0.734273
2018-12-13,-0.714997
2018-12-12,-0.705511
2018-12-11,-0.707990
2018-12-10,-0.693909
2018-12-07,-0.705786
2018-12-06,-0.713395
2018-12-05,-0.702107
2018-12-04,-0.702993
2018-12-03,-0.694167
2018-11-30,-0.695103
2018-11-29,-0.705935
2018-11-28,-0.698943
2018-11-27,-0.698208
2018-11-26,-0.690841
2018-11-23,-0.695815
2018-11-22,-0.698949
2018-11-21,-0.708331
2018-11-20,-0.708767
2018-11-19,-0.705052
2018-11-16,-0.702863
2018-11-15,-0.704916
2018-11-14,-0.696777
2018-11-13,-0.699609
2018-11-12,-0.704418
2018-11-09,-0.700607
2018-11-08,-0.693444
2018-11-07,-0.693089
2018-11-06,-0.712856
2018-11-05,-0.701524
2018-11-02,-0.715974
2018-11-01,-0.723392
2018-10-31,-0.730937
2018-10-30,-0.747224
2018-10-29,-0.740918
2018-10-26,-0.745280
2018-10-25,-0.735702
2018-10-24,-0.729739
2018-10-23,-0.726487
2018-10-22,-0.718423
2018-10-19,-0.729713
2018-10-18,-0.711133
2018-10-17,-0.700983
2018-10-16,-0.699776
2018-10-15,-0.691815
2018-10-12,-0.674260
2018-10-11,-0.661292
2018-10-10,-0.643335
2018-10-09,-0.645182
2018-10-08,-0.646548
2018-10-05,-0.633884
2018-10-04,-0.632584
2018-10-03,-0.636310
2018-10-02,-0.640669
2018-10-01,-0.633026
2018-09-28,-0.630101
2018-09-27,-0.620028
2018-09-26,-0.614376
2018-09-25,-0.617390
2018-09-24,-0.620044
2018-09-21,-0.628775
2018-09-20,-0.625059
2018-09-19,-0.617384
2018-09-18,-0.623046
2018-09-17,-0.624305
2018-09-14,-0.621936
2018-09-13,-0.630460
2018-09-12,-0.633137
2018-09-11,-0.625495
2018-09-10,-0.625440
2018-09-07,-0.637603
2018-09-06,-0.642215
2018-09-05,-0.634709
2018-09-04,-0.651990
2018-09-03,-0.668029
2018-08-31,-0.671035
2018-08-30,-0.673293
2018-08-29,-0.650820
2018-08-28,-0.654301
2018-08-27,-0.663719
2018-08-24,-0.661029
2018-08-23,-0.670783
2018-08-22,-0.675783
2018-08-21,-0.680845
2018-08-20,-0.695049
2018-08-17,-0.688657
2018-08-16,-0.685574
2018-08-15,-0.689447
2018-08-14,-0.685527
2018-08-13,-0.691312
2018-08-10,-0.687078
2018-08-09,-0.672288
2018-08-08,-0.654940
2018-08-07,-0.665154
2018-08-06,-0.667126
2018-08-03,-0.678503
2018-08-02,-0.656835
2018-08-01,-0.660263
2018-07-31,-0.653104
2018-07-30,-0.669809
2018-07-27,-0.696875
2018-07-26,-0.685138
2018-07-25,-0.679871
2018-07-24,-0.679335
2018-07-23,-0.680789
2018-07-20,-0.689599
2018-07-19,-0.693839
2018-07-18,-0.686146
2018-07-17,-0.692529
2018-07-16,-0.686565
2018-07-13,-0.691167
