ISIN;CH0032980226;CH0032980283;CH0032980689
SYMBOL;SFC14Y;SFC13Y;SFC12Y
NAME;SBI For Corp AAA-BBB Y;SBI For Corp AAA-A Y;SBI For Corp AAA-AA Y
INDEX TYPE;Yield;Yield;Yield
DATE;Close;Close;Close
26.11.2020;0.05;-0.05;-0.13
25.11.2020;0.07;-0.04;-0.13
24.11.2020;0.06;-0.05;-0.13
23.11.2020;0.06;-0.05;-0.13
20.11.2020;0.07;-0.05;-0.13
19.11.2020;0.08;-0.04;-0.12
18.11.2020;0.08;-0.04;-0.12
17.11.2020;0.08;-0.04;-0.12
16.11.2020;0.09;-0.03;-0.12
13.11.2020;0.08;-0.04;-0.12
12.11.2020;0.1;-0.02;-0.1
11.11.2020;0.12;0;-0.09
10.11.2020;0.13;0;-0.08
09.11.2020;0.11;-0.01;-0.11
06.11.2020;0.1;-0.04;-0.14
05.11.2020;0.1;-0.05;-0.15
04.11.2020;0.11;-0.04;-0.14
03.11.2020;0.12;-0.03;-0.13
02.11.2020;0.11;-0.04;-0.14
30.10.2020;0.1;-0.06;-0.16
29.10.2020;0.09;-0.06;-0.16
28.10.2020;0.09;-0.06;-0.16
27.10.2020;0.1;-0.04;-0.14
26.10.2020;0.11;-0.03;-0.13
23.10.2020;0.12;-0.03;-0.13
22.10.2020;0.11;-0.04;-0.14
21.10.2020;0.11;-0.04;-0.14
20.10.2020;0.1;-0.05;-0.15
19.10.2020;0.11;-0.04;-0.15
16.10.2020;0.1;-0.05;-0.16
15.10.2020;0.1;-0.05;-0.15
14.10.2020;0.11;-0.04;-0.14
13.10.2020;0.11;-0.04;-0.14
12.10.2020;0.12;-0.03;-0.13
09.10.2020;0.12;-0.03;-0.13
08.10.2020;0.13;-0.01;-0.11
07.10.2020;0.14;0;-0.11
06.10.2020;0.15;0;-0.11
05.10.2020;0.14;0;-0.11
02.10.2020;0.14;-0.01;-0.12
01.10.2020;0.15;0;-0.11
30.09.2020;0.14;-0.01;-0.13
29.09.2020;0.14;-0.01;-0.12
28.09.2020;0.14;-0.01;-0.12
25.09.2020;0.15;0;-0.11
24.09.2020;0.14;0;-0.12
23.09.2020;0.13;-0.01;-0.12
22.09.2020;0.13;-0.01;-0.12
21.09.2020;0.13;-0.01;-0.12
18.09.2020;0.15;0.01;-0.1
17.09.2020;0.15;0;-0.1
16.09.2020;0.15;0.01;-0.1
15.09.2020;0.16;0.01;-0.09
14.09.2020;0.16;0.02;-0.09
11.09.2020;0.17;0.03;-0.08
10.09.2020;0.19;0.05;-0.06
09.09.2020;0.17;0.03;-0.08
08.09.2020;0.16;0.02;-0.08
07.09.2020;0.17;0.03;-0.08
04.09.2020;0.16;0.02;-0.08
03.09.2020;0.16;0.02;-0.08
02.09.2020;0.19;0.04;-0.06
01.09.2020;0.22;0.08;-0.02
31.08.2020;0.23;0.09;-0.02
28.08.2020;0.24;0.1;-0.01
27.08.2020;0.24;0.1;0
26.08.2020;0.24;0.1;-0.01
25.08.2020;0.24;0.1;-0.01
24.08.2020;0.2;0.06;-0.05
21.08.2020;0.21;0.06;-0.05
20.08.2020;0.22;0.08;-0.04
19.08.2020;0.23;0.08;-0.03
18.08.2020;0.24;0.1;-0.01
17.08.2020;0.26;0.11;0
14.08.2020;0.27;0.12;0
13.08.2020;0.26;0.12;0
12.08.2020;0.24;0.1;-0.02
11.08.2020;0.23;0.08;-0.04
10.08.2020;0.21;0.07;-0.05
07.08.2020;0.27;0.12;0
06.08.2020;0.23;0.08;-0.04
05.08.2020;0.24;0.09;-0.03
04.08.2020;0.23;0.08;-0.04
03.08.2020;0.24;0.09;-0.05
31.07.2020;0.23;0.08;-0.05
30.07.2020;0.23;0.08;-0.05
29.07.2020;0.24;0.09;-0.04
28.07.2020;0.24;0.08;-0.04
27.07.2020;0.25;0.1;-0.03
24.07.2020;0.28;0.12;-0.01
23.07.2020;0.26;0.11;-0.02
22.07.2020;0.27;0.12;-0.01
21.07.2020;0.3;0.15;0.02
20.07.2020;0.31;0.16;0.03
17.07.2020;0.3;0.15;0.02
16.07.2020;0.3;0.15;0.01
15.07.2020;0.31;0.16;0.03
14.07.2020;0.32;0.17;0.04
13.07.2020;0.32;0.17;0.04
10.07.2020;0.29;0.14;0.01
09.07.2020;0.33;0.18;0.04
08.07.2020;0.34;0.19;0.05
07.07.2020;0.35;0.2;0.06
06.07.2020;0.35;0.2;0.06
03.07.2020;0.35;0.2;0.06
02.07.2020;0.36;0.2;0.06
01.07.2020;0.37;0.22;0.08
30.06.2020;0.34;0.18;0.04
29.06.2020;0.35;0.2;0.06
26.06.2020;0.35;0.2;0.06
25.06.2020;0.35;0.2;0.06
24.06.2020;0.36;0.22;0.08
23.06.2020;0.36;0.21;0.07
22.06.2020;0.34;0.19;0.05
19.06.2020;0.34;0.19;0.06
18.06.2020;0.34;0.19;0.06
17.06.2020;0.35;0.2;0.06
16.06.2020;0.36;0.21;0.07
15.06.2020;0.36;0.21;0.06
12.06.2020;0.37;0.22;0.07
11.06.2020;0.37;0.22;0.07
10.06.2020;0.41;0.27;0.12
09.06.2020;0.41;0.27;0.12
08.06.2020;0.43;0.29;0.13
05.06.2020;0.47;0.32;0.16
04.06.2020;0.48;0.32;0.15
03.06.2020;0.5;0.33;0.14
02.06.2020;0.5;0.32;0.13
29.05.2020;0.5;0.32;0.11
28.05.2020;0.52;0.35;0.14
27.05.2020;0.58;0.41;0.19
26.05.2020;0.54;0.36;0.15
25.05.2020;0.54;0.35;0.13
22.05.2020;0.54;0.36;0.14
20.05.2020;0.54;0.36;0.14
19.05.2020;0.55;0.37;0.15
18.05.2020;0.55;0.36;0.13
15.05.2020;0.55;0.36;0.13
14.05.2020;0.55;0.36;0.14
13.05.2020;0.54;0.35;0.13
12.05.2020;0.57;0.38;0.16
11.05.2020;0.58;0.39;0.17
08.05.2020;0.57;0.38;0.16
07.05.2020;0.59;0.4;0.18
06.05.2020;0.61;0.42;0.2
05.05.2020;0.62;0.44;0.21
04.05.2020;0.63;0.44;0.22
30.04.2020;0.68;0.48;0.25
29.04.2020;0.72;0.52;0.28
28.04.2020;0.76;0.56;0.3
27.04.2020;0.77;0.57;0.31
24.04.2020;0.81;0.61;0.36
23.04.2020;0.86;0.66;0.41
22.04.2020;0.88;0.67;0.42
21.04.2020;0.87;0.65;0.39
20.04.2020;0.84;0.63;0.38
17.04.2020;0.84;0.63;0.38
16.04.2020;0.89;0.67;0.42
15.04.2020;0.91;0.7;0.44
14.04.2020;0.98;0.78;0.52
09.04.2020;1.07;0.85;0.57
08.04.2020;1.18;0.96;0.66
07.04.2020;1.23;1.01;0.67
06.04.2020;1.25;1.02;0.68
03.04.2020;1.24;1;0.66
02.04.2020;1.24;1;0.66
01.04.2020;1.23;1;0.67
31.03.2020;1.17;0.94;0.63
30.03.2020;1.3;1.05;0.71
27.03.2020;1.34;1.1;0.75
26.03.2020;1.45;1.2;0.85
25.03.2020;1.54;1.26;0.9
24.03.2020;1.59;1.3;0.96
23.03.2020;1.59;1.28;0.94
20.03.2020;1.49;1.23;0.89
19.03.2020;1.5;1.23;0.9
18.03.2020;1.43;1.16;0.84
17.03.2020;1.13;0.85;0.51
16.03.2020;1.04;0.75;0.49
13.03.2020;0.78;0.61;0.35
12.03.2020;0.61;0.43;0.19
11.03.2020;0.21;0.05;-0.11
10.03.2020;0.23;0.05;-0.1
09.03.2020;0.47;0.29;0.06
06.03.2020;-0.13;-0.25;-0.37
05.03.2020;-0.18;-0.29;-0.38
04.03.2020;-0.19;-0.3;-0.4
03.03.2020;-0.21;-0.31;-0.41
02.03.2020;-0.25;-0.35;-0.44
28.02.2020;-0.25;-0.33;-0.42
27.02.2020;-0.25;-0.34;-0.41
26.02.2020;-0.25;-0.32;-0.4
25.02.2020;-0.26;-0.34;-0.41
24.02.2020;-0.25;-0.33;-0.4
21.02.2020;-0.23;-0.3;-0.37
20.02.2020;-0.22;-0.3;-0.37
19.02.2020;-0.21;-0.28;-0.35
18.02.2020;-0.2;-0.27;-0.34
17.02.2020;-0.18;-0.25;-0.32
14.02.2020;-0.17;-0.24;-0.32
13.02.2020;-0.17;-0.24;-0.31
12.02.2020;-0.15;-0.22;-0.29
11.02.2020;-0.16;-0.23;-0.3
10.02.2020;-0.16;-0.23;-0.3
07.02.2020;-0.14;-0.21;-0.28
06.02.2020;-0.12;-0.19;-0.26
05.02.2020;-0.13;-0.2;-0.27
04.02.2020;-0.15;-0.22;-0.3
03.02.2020;-0.17;-0.24;-0.32
31.01.2020;-0.18;-0.25;-0.33
30.01.2020;-0.16;-0.24;-0.32
29.01.2020;-0.15;-0.23;-0.31
28.01.2020;-0.15;-0.23;-0.3
27.01.2020;-0.18;-0.25;-0.33
24.01.2020;-0.14;-0.21;-0.28
23.01.2020;-0.13;-0.2;-0.28
22.01.2020;-0.11;-0.18;-0.25
21.01.2020;-0.1;-0.17;-0.25
20.01.2020;-0.06;-0.14;-0.21
17.01.2020;-0.06;-0.14;-0.21
16.01.2020;-0.06;-0.13;-0.2
15.01.2020;-0.03;-0.11;-0.18
14.01.2020;0;-0.08;-0.15
13.01.2020;0;-0.07;-0.14
10.01.2020;-0.01;-0.08;-0.15
09.01.2020;-0.01;-0.08;-0.15
08.01.2020;-0.03;-0.11;-0.19
07.01.2020;-0.04;-0.12;-0.19
06.01.2020;-0.03;-0.11;-0.19
03.01.2020;-0.01;-0.09;-0.17
30.12.2019;0.04;-0.04;-0.12
27.12.2019;0.02;-0.06;-0.14
23.12.2019;0.02;-0.06;-0.14
20.12.2019;0.01;-0.07;-0.15
19.12.2019;0.01;-0.07;-0.15
18.12.2019;-0.02;-0.09;-0.18
17.12.2019;-0.03;-0.11;-0.19
16.12.2019;-0.03;-0.12;-0.2
13.12.2019;-0.02;-0.11;-0.19
12.12.2019;-0.02;-0.1;-0.19
11.12.2019;-0.04;-0.13;-0.21
10.12.2019;-0.04;-0.12;-0.2
09.12.2019;-0.05;-0.13;-0.22
06.12.2019;-0.03;-0.12;-0.2
05.12.2019;-0.04;-0.13;-0.21
04.12.2019;-0.07;-0.16;-0.25
03.12.2019;-0.07;-0.16;-0.24
02.12.2019;-0.04;-0.13;-0.21
29.11.2019;-0.07;-0.16;-0.24
28.11.2019;-0.08;-0.17;-0.25
27.11.2019;-0.07;-0.16;-0.24
26.11.2019;-0.06;-0.15;-0.23
