ISIN;CH0032980341;CH0032980408;CH0032980754
SYMBOL;SFG14Y;SFG13Y;SFG12Y
NAME;SBI For Gov AAA-BBB Y;SBI For Gov AAA-A Y;SBI For Gov AAA-AA Y
INDEX TYPE;Yield;Yield;Yield
DATE;Close;Close;Close
16.01.2023;1.51;1.51;1.50
13.01.2023;1.50;1.50;1.48
12.01.2023;1.54;1.54;1.53
11.01.2023;1.64;1.64;1.63
10.01.2023;1.73;1.73;1.71
09.01.2023;1.69;1.69;1.67
06.01.2023;1.70;1.70;1.68
05.01.2023;1.80;1.80;1.79
04.01.2023;1.74;1.74;1.72
03.01.2023;1.83;1.83;1.81
30.12.2022;1.99;1.99;1.97
29.12.2022;1.96;1.96;1.94
28.12.2022;1.97;1.97;1.96
27.12.2022;1.99;1.99;1.97
23.12.2022;1.92;1.92;1.91
22.12.2022;1.89;1.89;1.87
21.12.2022;1.82;1.82;1.80
20.12.2022;1.74;1.74;1.73
19.12.2022;1.63;1.63;1.61
16.12.2022;1.59;1.59;1.58
15.12.2022;1.53;1.53;1.52
14.12.2022;1.44;1.44;1.42
13.12.2022;1.47;1.47;1.45
12.12.2022;1.48;1.48;1.47
09.12.2022;1.46;1.46;1.44
08.12.2022;1.41;1.41;1.39
07.12.2022;1.42;1.42;1.40
06.12.2022;1.43;1.43;1.41
05.12.2022;1.50;1.50;1.48
02.12.2022;1.49;1.49;1.47
01.12.2022;1.48;1.48;1.46
30.11.2022;1.56;1.56;1.55
29.11.2022;1.55;1.55;1.53
28.11.2022;1.56;1.56;1.54
25.11.2022;1.62;1.62;1.60
24.11.2022;1.50;1.50;1.48
23.11.2022;1.55;1.55;1.53
22.11.2022;1.58;1.58;1.55
21.11.2022;1.59;1.59;1.56
18.11.2022;1.63;1.63;1.61
17.11.2022;1.65;1.65;1.63
16.11.2022;1.64;1.64;1.61
15.11.2022;1.67;1.67;1.64
14.11.2022;1.73;1.73;1.70
11.11.2022;1.75;1.75;1.72
10.11.2022;1.63;1.63;1.61
09.11.2022;1.74;1.74;1.71
08.11.2022;1.79;1.79;1.77
07.11.2022;1.86;1.86;1.82
04.11.2022;1.87;1.87;1.84
03.11.2022;1.88;1.88;1.85
02.11.2022;1.83;1.83;1.80
01.11.2022;1.84;1.84;1.81
31.10.2022;1.83;1.83;1.81
28.10.2022;1.81;1.81;1.79
27.10.2022;1.77;1.77;1.74
26.10.2022;1.90;1.90;1.87
25.10.2022;1.90;1.90;1.88
24.10.2022;1.99;1.99;1.96
21.10.2022;2.02;2.02;1.98
20.10.2022;2.01;2.01;1.98
19.10.2022;1.98;1.98;1.95
18.10.2022;1.92;1.92;1.89
17.10.2022;1.99;1.99;1.95
14.10.2022;2.02;2.02;1.99
13.10.2022;2.06;2.06;2.02
12.10.2022;2.15;2.15;2.12
11.10.2022;2.17;2.17;2.14
10.10.2022;2.19;2.19;2.16
07.10.2022;2.09;2.09;2.07
06.10.2022;1.95;1.95;1.93
05.10.2022;1.84;1.84;1.81
04.10.2022;1.66;1.66;1.63
03.10.2022;1.78;1.78;1.74
30.09.2022;1.92;1.92;1.89
29.09.2022;2.03;2.03;1.99
28.09.2022;2.08;2.08;2.04
27.09.2022;2.14;2.14;2.11
26.09.2022;2.11;2.11;2.09
23.09.2022;2.11;2.11;2.08
22.09.2022;2.08;2.08;2.05
