ISIN;CH0028464904;CH0028464946;CH0028464987;CH0028465042;CH0028465083;CH0028465836;CH0028465877;CH0028465927;CH0028465976;CH0028466024;CH0032978626;CH0032978733;CH0032978782;CH0032979046;CH0032979111
SYMBOL;SF13Y;SF35Y;SF57Y;SF71Y;SF10Y;SFA13Y;SFA35Y;SFA57Y;SFA71Y;SFA10Y;SFF13Y;SFF35Y;SFF57Y;SFF71Y;SFF10Y
NAME;SBI For AAA-BBB 1-3 Y;SBI For AAA-BBB 3-5 Y;SBI For AAA-BBB 5-7 Y;SBI For AAA-BBB 7-10 Y;SBI For AAA-BBB 10+ Y;SBI For AAA-A 1-3 Y;SBI For AAA-A 3-5 Y;SBI For AAA-A 5-7 Y;SBI For AAA-A 7-10 Y;SBI For AAA-A 10+ Y;SBI For AAA-AA 1-3 Y;SBI For AAA-AA 3-5 Y;SBI For AAA-AA 5-7 Y;SBI For AAA-AA 7-10 Y;SBI For AAA-AA 10+ Y
INDEX TYPE;Yield;Yield;Yield;Yield;Yield;Yield;Yield;Yield;Yield;Yield;Yield;Yield;Yield;Yield;Yield
DATE;Close;Close;Close;Close;Close;Close;Close;Close;Close;Close;Close;Close;Close;Close;Close
23.12.2021;-0.22;0.02;0.23;0.17;0.21;-0.32;-0.08;0.16;0.15;0.2;-0.41;-0.21;0.04;0.1;0.19
22.12.2021;-0.24;0;0.2;0.15;0.19;-0.34;-0.11;0.13;0.12;0.18;-0.42;-0.24;0.01;0.07;0.17
21.12.2021;-0.24;-0.01;0.19;0.12;0.16;-0.34;-0.12;0.12;0.09;0.15;-0.43;-0.25;-0.01;0.04;0.14
20.12.2021;-0.24;-0.04;0.14;0.06;0.09;-0.35;-0.15;0.07;0.03;0.08;-0.43;-0.28;-0.06;-0.02;0.07
17.12.2021;-0.24;-0.03;0.14;0.06;0.08;-0.34;-0.14;0.07;0.03;0.08;-0.43;-0.27;-0.05;-0.02;0.07
16.12.2021;-0.23;-0.02;0.16;0.08;0.1;-0.33;-0.13;0.09;0.05;0.09;-0.42;-0.26;-0.03;0.01;0.08
15.12.2021;-0.24;-0.03;0.15;0.07;0.08;-0.35;-0.14;0.08;0.04;0.07;-0.43;-0.27;-0.05;-0.01;0.06
14.12.2021;-0.25;-0.03;0.14;0.06;0.07;-0.36;-0.14;0.07;0.03;0.06;-0.44;-0.28;-0.05;-0.01;0.05
13.12.2021;-0.27;-0.05;0.12;0.04;0.05;-0.38;-0.16;0.05;0.02;0.04;-0.46;-0.3;-0.07;-0.03;0.03
10.12.2021;-0.26;-0.04;0.13;0.05;0.05;-0.36;-0.15;0.06;0.02;0.04;-0.45;-0.29;-0.07;-0.03;0.03
