ISIN;CH0016203421;CH0016203462;CH0016203504;CH0032979657;CH0032979707;CH0032979764;CH0032979830
SYMBOL;SBIGY1;SBIGY3;SBIGY7;SG35Y;SG57Y;SG71Y;SG10Y
NAME;SBI Dom Gov 1-3 Y;SBI Dom Gov 3-7 Y;SBI Dom Gov 7+ Y;SBI Dom Gov 3-5 Y;SBI Dom Gov 5-7 Y;SBI Dom Gov 7-10 Y;SBI Dom Gov 10+ Y
INDEX TYPE;Yield;Yield;Yield;Yield;Yield;Yield;Yield
DATE;Close;Close;Close;Close;Close;Close;Close
18.05.2022;-0.07;0.27;0.81;0.11;0.35;0.56;0.84
17.05.2022;-0.05;0.29;0.89;0.11;0.38;0.62;0.92
16.05.2022;-0.11;0.21;0.84;0.03;0.30;0.55;0.87
13.05.2022;-0.13;0.21;0.85;0.02;0.30;0.56;0.89
12.05.2022;-0.19;0.16;0.80;-0.02;0.26;0.50;0.83
11.05.2022;-0.11;0.34;0.94;0.15;0.44;0.69;0.97
10.05.2022;-0.05;0.40;0.97;0.21;0.49;0.73;1.00
09.05.2022;0.02;0.48;1.02;0.29;0.57;0.81;1.05
06.05.2022;0.07;0.53;1.03;0.36;0.62;0.83;1.06
05.05.2022;0.02;0.45;0.95;0.30;0.53;0.72;0.98
04.05.2022;0.04;0.45;0.93;0.30;0.53;0.72;0.95
03.05.2022;0.05;0.42;0.93;0.27;0.51;0.70;0.95
02.05.2022;0.04;0.46;0.96;0.31;0.54;0.74;0.99
29.04.2022;0.06;0.43;0.91;0.29;0.51;0.70;0.94
28.04.2022;0.04;0.43;0.91;0.29;0.51;0.70;0.93
27.04.2022;-0.02;0.36;0.84;0.22;0.43;0.63;0.87
26.04.2022;-0.01;0.36;0.85;0.22;0.44;0.64;0.88
25.04.2022;0.04;0.41;0.89;0.25;0.50;0.70;0.91
22.04.2022;0.09;0.49;0.96;0.33;0.58;0.77;0.98
21.04.2022;0.03;0.44;0.95;0.26;0.53;0.75;0.97
20.04.2022;-0.07;0.40;0.91;0.21;0.50;0.72;0.93
19.04.2022;-0.05;0.46;1.00;0.26;0.57;0.80;1.02
14.04.2022;-0.06;0.40;0.90;0.22;0.50;0.71;0.93
13.04.2022;-0.03;0.40;0.83;0.25;0.49;0.65;0.85
12.04.2022;0.00;0.44;0.90;0.28;0.53;0.71;0.92
11.04.2022;0.05;0.45;0.84;0.30;0.53;0.69;0.86
08.04.2022;-0.04;0.38;0.72;0.24;0.46;0.60;0.74
07.04.2022;-0.07;0.35;0.72;0.20;0.44;0.59;0.74
06.04.2022;-0.09;0.33;0.71;0.18;0.41;0.56;0.73
05.04.2022;-0.11;0.29;0.66;0.15;0.36;0.51;0.68
04.04.2022;-0.14;0.21;0.55;0.08;0.27;0.42;0.57
01.04.2022;-0.09;0.26;0.64;0.13;0.33;0.50;0.66
31.03.2022;-0.10;0.24;0.66;0.11;0.31;0.47;0.68
30.03.2022;-0.03;0.35;0.77;0.21;0.43;0.59;0.79
29.03.2022;-0.09;0.29;0.72;0.15;0.36;0.54;0.74
28.03.2022;-0.17;0.22;0.66;0.09;0.29;0.47;0.68
25.03.2022;-0.20;0.18;0.62;0.05;0.26;0.44;0.64
24.03.2022;-0.25;0.14;0.55;0.00;0.21;0.39;0.57
23.03.2022;-0.26;0.10;0.55;-0.04;0.17;0.36;0.57
22.03.2022;-0.24;0.11;0.57;-0.03;0.19;0.38;0.59
21.03.2022;-0.31;0.05;0.51;-0.09;0.13;0.32;0.54
18.03.2022;-0.34;0.01;0.45;-0.12;0.08;0.26;0.48
17.03.2022;-0.33;0.04;0.47;-0.09;0.11;0.29;0.50
16.03.2022;-0.31;0.05;0.51;-0.09;0.12;0.31;0.53
15.03.2022;-0.29;0.03;0.48;-0.10;0.11;0.28;0.50
14.03.2022;-0.27;0.06;0.46;-0.07;0.13;0.29;0.48
11.03.2022;-0.28;0.03;0.42;-0.09;0.10;0.25;0.44
10.03.2022;-0.35;0.01;0.40;-0.12;0.08;0.24;0.42
09.03.2022;-0.44;-0.07;0.36;-0.19;0.00;0.18;0.38
08.03.2022;-0.45;-0.12;0.28;-0.25;-0.06;0.11;0.30
07.03.2022;-0.47;-0.15;0.21;-0.28;-0.09;0.07;0.22
04.03.2022;-0.48;-0.17;0.21;-0.29;-0.11;0.06;0.23
03.03.2022;-0.44;-0.12;0.26;-0.24;-0.06;0.09;0.27
02.03.2022;-0.47;-0.17;0.20;-0.29;-0.12;0.03;0.22
01.03.2022;-0.54;-0.25;0.12;-0.36;-0.19;-0.03;0.14
28.02.2022;-0.47;-0.07;0.29;-0.18;-0.00;0.16;0.30
25.02.2022;-0.43;0.02;0.33;-0.10;0.08;0.21;0.34
24.02.2022;-0.46;-0.03;0.26;-0.14;0.02;0.15;0.27
23.02.2022;-0.44;0.00;0.29;-0.11;0.06;0.18;0.30
22.02.2022;-0.44;-0.00;0.29;-0.11;0.05;0.19;0.30
21.02.2022;-0.47;-0.05;0.26;-0.16;0.01;0.15;0.27
18.02.2022;-0.46;-0.02;0.28;-0.14;0.04;0.17;0.29
17.02.2022;-0.44;-0.00;0.28;-0.11;0.05;0.18;0.29
16.02.2022;-0.42;0.03;0.30;-0.06;0.08;0.20;0.31
15.02.2022;-0.38;0.08;0.33;-0.02;0.13;0.25;0.34
14.02.2022;-0.38;0.07;0.28;-0.02;0.12;0.21;0.29
11.02.2022;-0.36;0.08;0.29;-0.00;0.13;0.23;0.29
10.02.2022;-0.37;0.08;0.29;-0.00;0.13;0.23;0.30
09.02.2022;-0.39;0.05;0.25;-0.03;0.09;0.20;0.26
08.02.2022;-0.35;0.13;0.32;0.03;0.18;0.29;0.32
07.02.2022;-0.35;0.11;0.27;0.02;0.16;0.25;0.27
04.02.2022;-0.34;0.08;0.22;0.01;0.13;0.21;0.22
03.02.2022;-0.39;-0.01;0.19;-0.09;0.04;0.13;0.20
02.02.2022;-0.49;-0.11;0.12;-0.21;-0.06;0.04;0.13
01.02.2022;-0.51;-0.13;0.12;-0.22;-0.08;0.03;0.13
31.01.2022;-0.52;-0.15;0.09;-0.24;-0.10;0.01;0.10
28.01.2022;-0.55;-0.19;0.06;-0.28;-0.15;-0.04;0.07
27.01.2022;-0.55;-0.21;0.04;-0.30;-0.17;-0.06;0.05
26.01.2022;-0.58;-0.25;0.04;-0.34;-0.20;-0.08;0.05
25.01.2022;-0.58;-0.24;0.03;-0.33;-0.20;-0.08;0.04
24.01.2022;-0.58;-0.25;0.01;-0.33;-0.21;-0.10;0.02
21.01.2022;-0.55;-0.24;0.03;-0.32;-0.19;-0.08;0.04
20.01.2022;-0.54;-0.22;0.06;-0.31;-0.18;-0.06;0.07
19.01.2022;-0.56;-0.21;0.08;-0.29;-0.16;-0.03;0.09
18.01.2022;-0.56;-0.22;0.07;-0.30;-0.17;-0.04;0.08
17.01.2022;-0.56;-0.22;0.06;-0.30;-0.18;-0.05;0.07
14.01.2022;-0.55;-0.24;0.04;-0.32;-0.20;-0.07;0.05
13.01.2022;-0.57;-0.26;0.01;-0.34;-0.22;-0.10;0.03
12.01.2022;-0.58;-0.25;0.04;-0.34;-0.21;-0.08;0.06
11.01.2022;-0.56;-0.20;0.10;-0.29;-0.16;-0.02;0.11
10.01.2022;-0.56;-0.21;0.09;-0.30;-0.17;-0.02;0.10
07.01.2022;-0.56;-0.23;0.07;-0.32;-0.19;-0.05;0.09
06.01.2022;-0.58;-0.27;0.05;-0.35;-0.22;-0.08;0.07
05.01.2022;-0.60;-0.30;0.02;-0.38;-0.25;-0.11;0.03
04.01.2022;-0.62;-0.32;-0.01;-0.40;-0.28;-0.14;0.00
03.01.2022;-0.61;-0.34;-0.03;-0.42;-0.30;-0.16;-0.02
30.12.2021;-0.63;-0.36;-0.06;-0.44;-0.31;-0.19;-0.05
29.12.2021;-0.64;-0.37;-0.08;-0.45;-0.32;-0.21;-0.06
28.12.2021;-0.64;-0.39;-0.11;-0.47;-0.35;-0.23;-0.10
27.12.2021;-0.66;-0.41;-0.12;-0.48;-0.37;-0.25;-0.10
23.12.2021;-0.65;-0.40;-0.11;-0.47;-0.37;-0.24;-0.09
22.12.2021;-0.67;-0.42;-0.13;-0.49;-0.39;-0.26;-0.11
21.12.2021;-0.67;-0.44;-0.15;-0.50;-0.40;-0.28;-0.14
20.12.2021;-0.68;-0.48;-0.23;-0.53;-0.45;-0.35;-0.22
17.12.2021;-0.67;-0.47;-0.23;-0.52;-0.44;-0.34;-0.22
16.12.2021;-0.67;-0.45;-0.22;-0.51;-0.42;-0.32;-0.21
15.12.2021;-0.68;-0.47;-0.24;-0.52;-0.44;-0.33;-0.23
14.12.2021;-0.70;-0.48;-0.25;-0.53;-0.45;-0.34;-0.24
13.12.2021;-0.71;-0.50;-0.29;-0.56;-0.47;-0.37;-0.28
10.12.2021;-0.69;-0.49;-0.28;-0.55;-0.46;-0.36;-0.28
09.12.2021;-0.69;-0.49;-0.29;-0.55;-0.46;-0.36;-0.28
08.12.2021;-0.69;-0.46;-0.26;-0.52;-0.43;-0.32;-0.25
07.12.2021;-0.69;-0.49;-0.28;-0.55;-0.46;-0.34;-0.27
06.12.2021;-0.70;-0.50;-0.27;-0.55;-0.46;-0.35;-0.26
03.12.2021;-0.68;-0.48;-0.24;-0.53;-0.45;-0.33;-0.23
02.12.2021;-0.68;-0.49;-0.25;-0.55;-0.46;-0.33;-0.24
01.12.2021;-0.68;-0.46;-0.21;-0.52;-0.42;-0.29;-0.20
30.11.2021;-0.69;-0.47;-0.18;-0.55;-0.43;-0.29;-0.17
29.11.2021;-0.70;-0.45;-0.14;-0.53;-0.40;-0.26;-0.12
26.11.2021;-0.71;-0.47;-0.16;-0.55;-0.43;-0.30;-0.15
