ISIN;CH0009980894;CH0009980894;CH0009980894;CH0000222130;CH0004147150;CH0004147192;CH0004147242
SYMBOL;SMI;SBAIB;SBAIA;SMIC;SSPRC;SSPRA;SSPRM
NAME;SMI PR;SMI Bid Index;SMI Ask Index;SMI TR;SMI Current Spread;SMI Average Spread;SMI Monthly Average Spread
INDEX TYPE;Price;Price;Price;Total Return;n.a.;n.a.;n.a.
DATE;Close;Close;Close;Close;Close;Close;Close
14.06.2021;11866.41;11864.52;11868.08;26687.38;0.03;0.03;0
11.06.2021;11841.3;11839.82;11843.12;26630.92;0.03;0.03;0
10.06.2021;11810.8;11809.47;11813.54;26562.33;0.03;0.03;0
09.06.2021;11788.1;11786.56;11789.55;26511.27;0.03;0.03;0
08.06.2021;11656.89;11655.24;11658.18;26216.18;0.03;0.03;0
07.06.2021;11630.66;11629.21;11632.78;26157.2;0.03;0.03;0
04.06.2021;11570.68;11568.44;11571.79;26022.3;0.03;0.03;0
03.06.2021;11510.6;11508.51;11511.57;25887.18;0.03;0.03;0
02.06.2021;11470.35;11468.26;11472.39;25796.65;0.04;0.03;0
01.06.2021;11434.88;11432.73;11435.68;25716.89;0.03;0.03;0
31.05.2021;11363.45;11361.84;11366.35;25556.24;0.04;0.03;0.03
28.05.2021;11426.15;11424.59;11428.48;25697.26;0.03;0.03;0
27.05.2021;11340.27;11336.84;11340.89;25504.11;0.04;0.03;0
26.05.2021;11348.74;11347.53;11350.71;25523.15;0.03;0.04;0
25.05.2021;11305.74;11304.25;11308.74;25426.46;0.04;0.03;0
21.05.2021;11225.58;11223.69;11226.55;25246.17;0.03;0.03;0
20.05.2021;11152.08;11150.87;11153.79;25080.88;0.03;0.03;0
19.05.2021;11045.2;11043.91;11046.59;24840.5;0.02;0.03;0
18.05.2021;11141.75;11141.13;11143.74;25057.63;0.02;0.03;0
17.05.2021;11135.37;11133.93;11136.62;25043.29;0.02;0.03;0
14.05.2021;11120.77;11120.06;11123.28;24996.91;0.03;0.03;0
12.05.2021;11033.9;11032.56;11036.27;24799.45;0.03;0.03;0
11.05.2021;10989.32;10987.34;10990.34;24699.26;0.03;0.03;0
10.05.2021;11123.67;11122.18;11124.77;25001.2;0.02;0.03;0
07.05.2021;11173.57;11171.19;11174.49;25108.51;0.03;0.03;0
06.05.2021;11111.1;11108.74;11111.78;24945.68;0.03;0.03;0
05.05.2021;11108.88;11107.76;11110.3;24940.68;0.02;0.03;0
04.05.2021;10970.93;10970.11;10972.79;24630.97;0.02;0.03;0
