Date;ISIN;Indexvalue
04.01.1999;CH0019900841;30.0793
05.01.1999;CH0019900841;29.2003
06.01.1999;CH0019900841;30.072
07.01.1999;CH0019900841;32.466
08.01.1999;CH0019900841;32.7108
11.01.1999;CH0019900841;34.8002
12.01.1999;CH0019900841;35.0134
13.01.1999;CH0019900841;37.0014
14.01.1999;CH0019900841;33.3137
15.01.1999;CH0019900841;33.9801
18.01.1999;CH0019900841;34.2865
19.01.1999;CH0019900841;33.7455
20.01.1999;CH0019900841;33.0516
21.01.1999;CH0019900841;33.3896
22.01.1999;CH0019900841;34.1349
25.01.1999;CH0019900841;34.7363
26.01.1999;CH0019900841;34.8958
27.01.1999;CH0019900841;34.5041
28.01.1999;CH0019900841;33.9237
29.01.1999;CH0019900841;33.356
01.02.1999;CH0019900841;33.9105
02.02.1999;CH0019900841;33.9354
03.02.1999;CH0019900841;33.4642
04.02.1999;CH0019900841;32.6816
05.02.1999;CH0019900841;31.8157
08.02.1999;CH0019900841;33.0399
09.02.1999;CH0019900841;34.2532
10.02.1999;CH0019900841;34.3785
11.02.1999;CH0019900841;31.5988
12.02.1999;CH0019900841;30.8391
15.02.1999;CH0019900841;30.2919
16.02.1999;CH0019900841;29.9546
17.02.1999;CH0019900841;30.3347
18.02.1999;CH0019900841;29.1289
19.02.1999;CH0019900841;26.7848
22.02.1999;CH0019900841;24.6757
23.02.1999;CH0019900841;24.9504
24.02.1999;CH0019900841;25.0922
25.02.1999;CH0019900841;25.3708
26.02.1999;CH0019900841;24.6097
01.03.1999;CH0019900841;24.9791
02.03.1999;CH0019900841;24.1224
03.03.1999;CH0019900841;24.2275
04.03.1999;CH0019900841;25.0122
05.03.1999;CH0019900841;24.0762
08.03.1999;CH0019900841;24.6188
09.03.1999;CH0019900841;24.312
10.03.1999;CH0019900841;23.9818
11.03.1999;CH0019900841;22.8273
12.03.1999;CH0019900841;22.931
15.03.1999;CH0019900841;23.2861
16.03.1999;CH0019900841;23.1665
17.03.1999;CH0019900841;23.2816
18.03.1999;CH0019900841;22.8868
19.03.1999;CH0019900841;20.5423
22.03.1999;CH0019900841;20.7993
23.03.1999;CH0019900841;21.6449
24.03.1999;CH0019900841;22.0449
25.03.1999;CH0019900841;21.6918
26.03.1999;CH0019900841;22.3183
29.03.1999;CH0019900841;21.8547
30.03.1999;CH0019900841;21.573
31.03.1999;CH0019900841;20.457
01.04.1999;CH0019900841;20.5826
06.04.1999;CH0019900841;21.1207
07.04.1999;CH0019900841;20.6078
08.04.1999;CH0019900841;20.6034
09.04.1999;CH0019900841;21.1832
12.04.1999;CH0019900841;21.5847
13.04.1999;CH0019900841;21.078
14.04.1999;CH0019900841;20.7608
15.04.1999;CH0019900841;19.4631
16.04.1999;CH0019900841;19.5337
19.04.1999;CH0019900841;19.4758
20.04.1999;CH0019900841;20.8627
21.04.1999;CH0019900841;20.4128
22.04.1999;CH0019900841;20.1112
23.04.1999;CH0019900841;20.3189
26.04.1999;CH0019900841;20.4694
27.04.1999;CH0019900841;19.9506
28.04.1999;CH0019900841;20.7869
29.04.1999;CH0019900841;21.2185
30.04.1999;CH0019900841;21.1502
03.05.1999;CH0019900841;21.266
04.05.1999;CH0019900841;21.951
05.05.1999;CH0019900841;22.7981
06.05.1999;CH0019900841;23.5756
07.05.1999;CH0019900841;23.8159
10.05.1999;CH0019900841;24.7221
11.05.1999;CH0019900841;23.4395
12.05.1999;CH0019900841;23.554
14.05.1999;CH0019900841;24.3765
17.05.1999;CH0019900841;27.1047
18.05.1999;CH0019900841;26.5792
19.05.1999;CH0019900841;24.8547
20.05.1999;CH0019900841;22.4361
21.05.1999;CH0019900841;21.9982
25.05.1999;CH0019900841;24.8584
26.05.1999;CH0019900841;24.2442
27.05.1999;CH0019900841;24.8286
28.05.1999;CH0019900841;25.7159
31.05.1999;CH0019900841;24.8059
01.06.1999;CH0019900841;24.6604
02.06.1999;CH0019900841;24.3643
03.06.1999;CH0019900841;23.9297
04.06.1999;CH0019900841;23.6062
07.06.1999;CH0019900841;23.4362
08.06.1999;CH0019900841;23.1449
09.06.1999;CH0019900841;22.5079
10.06.1999;CH0019900841;23.4879
11.06.1999;CH0019900841;22.9991
14.06.1999;CH0019900841;23.7219
15.06.1999;CH0019900841;23.2269
16.06.1999;CH0019900841;22.9241
17.06.1999;CH0019900841;22.5531
18.06.1999;CH0019900841;21.2095
21.06.1999;CH0019900841;20.0198
22.06.1999;CH0019900841;21.3911
23.06.1999;CH0019900841;22.1083
24.06.1999;CH0019900841;22.2006
25.06.1999;CH0019900841;22.3799
28.06.1999;CH0019900841;23.1576
29.06.1999;CH0019900841;22.7175
30.06.1999;CH0019900841;23.2793
01.07.1999;CH0019900841;21.0569
02.07.1999;CH0019900841;19.5407
05.07.1999;CH0019900841;19.5518
06.07.1999;CH0019900841;20.3279
07.07.1999;CH0019900841;21.0938
08.07.1999;CH0019900841;20.7239
09.07.1999;CH0019900841;19.4895
12.07.1999;CH0019900841;19.7114
13.07.1999;CH0019900841;21.1249
14.07.1999;CH0019900841;20.6667
15.07.1999;CH0019900841;19.3956
16.07.1999;CH0019900841;18.9328
19.07.1999;CH0019900841;19.1281
20.07.1999;CH0019900841;19.8859
21.07.1999;CH0019900841;21.2741
22.07.1999;CH0019900841;22.5511
23.07.1999;CH0019900841;23.5759
26.07.1999;CH0019900841;25.8268
27.07.1999;CH0019900841;24.8773
28.07.1999;CH0019900841;24.2614
29.07.1999;CH0019900841;25.5284
30.07.1999;CH0019900841;25.1374
02.08.1999;CH0019900841;25.8432
03.08.1999;CH0019900841;26.0986
04.08.1999;CH0019900841;26.472
05.08.1999;CH0019900841;28.557
06.08.1999;CH0019900841;28.745
09.08.1999;CH0019900841;28.9264
10.08.1999;CH0019900841;29.6227
11.08.1999;CH0019900841;28.7418
12.08.1999;CH0019900841;27.2813
13.08.1999;CH0019900841;25.1253
16.08.1999;CH0019900841;25.1088
17.08.1999;CH0019900841;24.9748
18.08.1999;CH0019900841;24.8676
19.08.1999;CH0019900841;25.3025
20.08.1999;CH0019900841;24.3278
23.08.1999;CH0019900841;23.7395
24.08.1999;CH0019900841;23.8924
25.08.1999;CH0019900841;21.7335
